[2024-06-08 19:40:01.950]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:40:01.964]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:40:02.007]	 Installing "tmux-open"
[2024-06-08 19:40:02.008]	 Installing "tmux-copycat"
[2024-06-08 19:40:02.008]	 Installing "tmux-fzf-url"
[2024-06-08 19:40:02.009]	 Installing "tmux-yank"
[2024-06-08 19:40:02.011]	 Installing "tmux-continuum"
[2024-06-08 19:40:02.011]	 Installing "tmux-sessionx"
[2024-06-08 19:40:02.011]	 Installing "tmux-resurrect"
[2024-06-08 19:40:03.614]	   "tmux-fzf-url" download success
[2024-06-08 19:40:03.691]	   "tmux-open" download success
[2024-06-08 19:40:03.774]	   "tmux-sessionx" download success
[2024-06-08 19:40:03.836]	   "tmux-continuum" download success
[2024-06-08 19:40:04.504]	   "tmux-copycat" download success
[2024-06-08 19:40:04.883]	   "tmux-yank" download success
[2024-06-08 19:40:06.511]	   "tmux-resurrect" download success
[2024-06-08 19:40:06.527]	 Done.

[2024-06-08 19:40:21.854]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:40:21.867]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:40:21.925]	 Already installed "tmux-open"
[2024-06-08 19:40:21.926]	 Already installed "tmux-copycat"
[2024-06-08 19:40:21.927]	 Already installed "tmux-continuum"
[2024-06-08 19:40:21.928]	 Already installed "tmux-sessionx"
[2024-06-08 19:40:21.928]	 Already installed "tmux-yank"
[2024-06-08 19:40:21.929]	 Already installed "tmux-fzf-url"
[2024-06-08 19:40:21.929]	 Already installed "tmux-resurrect"
[2024-06-08 19:40:21.941]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-08 19:40:21.962]	 Updating all plugins!
[2024-06-08 19:40:21.962]	 
[2024-06-08 19:40:23.152]	   "tmux-copycat" update success
[2024-06-08 19:40:23.154]	     | Already up to date.
[2024-06-08 19:40:23.352]	   "tmux-continuum" update success
[2024-06-08 19:40:23.354]	     | Already up to date.
[2024-06-08 19:40:23.396]	   "tmux-sessionx" update success
[2024-06-08 19:40:23.399]	     | Already up to date.
[2024-06-08 19:40:23.439]	   "tmux-yank" update success
[2024-06-08 19:40:23.442]	     | Already up to date.
[2024-06-08 19:40:23.457]	   "tmux-resurrect" update success
[2024-06-08 19:40:23.460]	     | Already up to date.
[2024-06-08 19:40:23.472]	   "tmux-fzf-url" update success
[2024-06-08 19:40:23.474]	     | Already up to date.
[2024-06-08 19:40:23.702]	   "tmux-open" update success
[2024-06-08 19:40:23.705]	     | Already up to date.
[2024-06-08 19:40:23.718]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 19:40:23.781]	 Done.

[2024-06-08 19:40:32.847]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:40:32.860]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:40:32.917]	 Already installed "tmux-open"
[2024-06-08 19:40:32.919]	 Already installed "tmux-yank"
[2024-06-08 19:40:32.920]	 Already installed "tmux-resurrect"
[2024-06-08 19:40:32.922]	 Already installed "tmux-continuum"
[2024-06-08 19:40:32.922]	 Already installed "tmux-copycat"
[2024-06-08 19:40:32.923]	 Already installed "tmux-fzf-url"
[2024-06-08 19:40:32.924]	 Already installed "tmux-sessionx"
[2024-06-08 19:40:32.936]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-08 19:40:32.955]	 Updating all plugins!
[2024-06-08 19:40:32.956]	 
[2024-06-08 19:40:34.282]	   "tmux-open" update success
[2024-06-08 19:40:34.285]	     | Already up to date.
[2024-06-08 19:40:34.333]	   "tmux-copycat" update success
[2024-06-08 19:40:34.338]	     | Already up to date.
[2024-06-08 19:40:34.341]	   "tmux-sessionx" update success
[2024-06-08 19:40:34.344]	     | Already up to date.
[2024-06-08 19:40:34.359]	   "tmux-fzf-url" update success
[2024-06-08 19:40:34.361]	     | Already up to date.
[2024-06-08 19:40:34.392]	   "tmux-continuum" update success
[2024-06-08 19:40:34.394]	     | Already up to date.
[2024-06-08 19:40:34.406]	   "tmux-yank" update success
[2024-06-08 19:40:34.408]	     | Already up to date.
[2024-06-08 19:40:34.689]	   "tmux-resurrect" update success
[2024-06-08 19:40:34.691]	     | Already up to date.
[2024-06-08 19:40:34.704]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 19:40:34.770]	 Done.

[2024-06-08 19:42:07.672]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:42:07.685]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:42:07.752]	 Already installed "tmux-yank"
[2024-06-08 19:42:07.753]	 Already installed "tmux-open"
[2024-06-08 19:42:07.753]	 Already installed "tmux-copycat"
[2024-06-08 19:42:07.753]	 Already installed "tmux-resurrect"
[2024-06-08 19:42:07.755]	 Already installed "tmux-continuum"
[2024-06-08 19:42:07.757]	 Already installed "tmux-fzf-url"
[2024-06-08 19:42:07.758]	 Already installed "tmux-sessionx"
[2024-06-08 19:42:07.772]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-08 19:42:07.794]	 Updating all plugins!
[2024-06-08 19:42:07.795]	 
[2024-06-08 19:42:09.157]	   "tmux-sessionx" update success
[2024-06-08 19:42:09.159]	     | Already up to date.
[2024-06-08 19:42:09.333]	   "tmux-resurrect" update success
[2024-06-08 19:42:09.336]	     | Already up to date.
[2024-06-08 19:42:09.474]	   "tmux-fzf-url" update success
[2024-06-08 19:42:09.474]	   "tmux-yank" update success
[2024-06-08 19:42:09.476]	     | Already up to date.
[2024-06-08 19:42:09.476]	     | Already up to date.
[2024-06-08 19:42:09.565]	   "tmux-copycat" update success
[2024-06-08 19:42:09.567]	     | Already up to date.
[2024-06-08 19:42:09.571]	   "tmux-open" update success
[2024-06-08 19:42:09.573]	     | Already up to date.
[2024-06-08 19:42:10.823]	   "tmux-continuum" update success
[2024-06-08 19:42:10.825]	     | Already up to date.
[2024-06-08 19:42:10.839]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-08 19:42:10.910]	 Done.

[2024-06-08 19:42:51.509]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-08 19:42:51.522]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-08 19:42:51.579]	 Already installed "tmux-yank"
[2024-06-08 19:42:51.581]	 Already installed "tmux-open"
[2024-06-08 19:42:51.581]	 Already installed "tmux-copycat"
[2024-06-08 19:42:51.585]	 Already installed "tmux-fzf-url"
